party_identification,political_viewpoint,marital_status,sex,cohort
"Independent, Close to Republican",Liberal,Divorced,Male,Gen Z
Not Very Strong Republican,Extremely Conservative,Widowed,Female,Gen Z
"Independent, Close to Republican",Conservative,Widowed,Female,Boomer
Not Very Strong Democrat,Moderate,Married,Female,Post-War
Strong Republican,Conservative,Married,Male,Gen X
Not Very Strong Democrat,Conservative,Separated,Female,Boomer
Not Very Strong Democrat,Slightly Conservative,Never Married,Male,Gen Z
Independent (Neither),Extremely Liberal,Widowed,Female,Millenial
Strong Republican,Slightly Conservative,Married,Male,Gen Z
"Independent, Close to Republican",Moderate,Married,Male,Post-War
Strong Democrat,Slightly Conservative,Widowed,Female,Gen X
Not Very Strong Democrat,Moderate,Never Married,Female,Millenial
Not Very Strong Republican,Extremely Conservative,Married,Male,Boomer
Other Party,Extremely Liberal,Separated,Female,Millenial
"Independent, Close to Republican",Slightly Liberal,Divorced,Female,Millenial
Strong Democrat,Conservative,Married,Female,Post-War
Independent (Neither),Liberal,Never Married,Female,Gen X
"Independent, Close to Republican",Slightly Conservative,Divorced,Male,Gen X
Not Very Strong Republican,Slightly Conservative,Never Married,Male,Gen Z
Strong Democrat,Extremely Conservative,Divorced,Male,Gen X
Strong Republican,Liberal,Married,Female,Gen Z
"Independent, Close to Republican",Extremely Conservative,Separated,Male,Boomer
Other Party,Extremely Liberal,Married,Female,Millenial
Not Very Strong Republican,Extremely Conservative,Never Married,Female,Gen X
"Independent, Close to Republican",Liberal,Divorced,Male,Gen Z
Other Party,Liberal,Widowed,Female,Post-War
Other Party,Moderate,Married,Male,Boomer
"Independent, Close to Democrat",Slightly Liberal,Widowed,Female,Millenial
Not Very Strong Democrat,Moderate,Widowed,Female,Boomer
"Independent, Close to Democrat",Extremely Conservative,Divorced,Male,Boomer
Not Very Strong Republican,Slightly Conservative,Never Married,Male,Millenial
Strong Democrat,Extremely Conservative,Married,Female,Gen Z
Strong Democrat,Extremely Liberal,Divorced,Male,Millenial
Not Very Strong Democrat,Moderate,Married,Female,Millenial
Independent (Neither),Slightly Liberal,Married,Male,Boomer
Strong Democrat,Slightly Conservative,Divorced,Female,Gen X
Other Party,Slightly Liberal,Widowed,Female,Gen Z
Not Very Strong Democrat,Liberal,Divorced,Female,Post-War
"Independent, Close to Republican",Moderate,Never Married,Male,Millenial
Not Very Strong Democrat,Liberal,Married,Female,Boomer
Not Very Strong Republican,Extremely Conservative,Married,Female,Gen Z
"Independent, Close to Democrat",Conservative,Widowed,Male,Millenial
Independent (Neither),Conservative,Divorced,Female,Gen Z
"Independent, Close to Republican",Slightly Conservative,Separated,Female,Gen Z
Strong Republican,Extremely Conservative,Never Married,Male,Gen Z
"Independent, Close to Democrat",Conservative,Widowed,Male,Post-War
Other Party,Extremely Liberal,Never Married,Female,Gen X
"Independent, Close to Democrat",Extremely Conservative,Divorced,Male,Gen X
Not Very Strong Democrat,Slightly Liberal,Widowed,Female,Gen X
Strong Republican,Extremely Liberal,Separated,Female,Gen X
"Independent, Close to Republican",Conservative,Divorced,Male,Gen X
Not Very Strong Republican,Moderate,Separated,Female,Gen Z
Not Very Strong Democrat,Conservative,Married,Female,Gen X
"Independent, Close to Democrat",Extremely Liberal,Separated,Male,Millenial
Not Very Strong Democrat,Extremely Liberal,Widowed,Male,Millenial
Strong Democrat,Slightly Liberal,Never Married,Female,Gen Z
Other Party,Liberal,Married,Female,Boomer
Strong Democrat,Slightly Liberal,Separated,Male,Gen X
Strong Democrat,Extremely Conservative,Divorced,Male,Gen Z
Not Very Strong Republican,Liberal,Separated,Female,Boomer
Strong Democrat,Extremely Liberal,Never Married,Female,Gen X
"Independent, Close to Republican",Liberal,Never Married,Male,Post-War
"Independent, Close to Democrat",Extremely Liberal,Widowed,Female,Gen Z
Strong Republican,Extremely Conservative,Divorced,Female,Gen Z
Strong Democrat,Slightly Liberal,Never Married,Male,Post-War
Strong Democrat,Moderate,Never Married,Male,Millenial
Strong Democrat,Conservative,Divorced,Male,Gen X
Not Very Strong Republican,Slightly Conservative,Never Married,Female,Millenial
Other Party,Extremely Liberal,Widowed,Male,Boomer
Not Very Strong Republican,Extremely Conservative,Divorced,Female,Boomer
"Independent, Close to Republican",Conservative,Separated,Female,Post-War
Strong Democrat,Extremely Liberal,Separated,Male,Boomer
Not Very Strong Democrat,Extremely Conservative,Widowed,Female,Gen Z
Strong Republican,Extremely Liberal,Divorced,Female,Gen Z
Independent (Neither),Moderate,Separated,Male,Gen Z
Strong Democrat,Conservative,Widowed,Male,Millenial
"Independent, Close to Republican",Extremely Conservative,Married,Female,Gen Z
Not Very Strong Republican,Conservative,Divorced,Female,Boomer
Not Very Strong Republican,Extremely Liberal,Separated,Female,Gen Z
"Independent, Close to Republican",Liberal,Married,Female,Post-War
Not Very Strong Democrat,Slightly Liberal,Married,Male,Millenial
Strong Democrat,Moderate,Never Married,Male,Gen X
Strong Republican,Liberal,Never Married,Female,Millenial
Other Party,Liberal,Never Married,Male,Millenial
Other Party,Moderate,Never Married,Male,Post-War
Strong Democrat,Liberal,Separated,Female,Post-War
"Independent, Close to Republican",Liberal,Divorced,Female,Post-War
Strong Republican,Slightly Conservative,Never Married,Male,Gen Z
"Independent, Close to Democrat",Slightly Conservative,Never Married,Female,Gen Z
Strong Republican,Moderate,Separated,Female,Gen X
Not Very Strong Republican,Extremely Liberal,Never Married,Female,Boomer
"Independent, Close to Republican",Extremely Liberal,Separated,Female,Millenial
"Independent, Close to Democrat",Extremely Conservative,Widowed,Male,Gen X
Not Very Strong Republican,Extremely Conservative,Separated,Male,Boomer
Not Very Strong Republican,Extremely Conservative,Never Married,Female,Post-War
"Independent, Close to Democrat",Liberal,Separated,Male,Boomer
Not Very Strong Republican,Conservative,Separated,Female,Millenial
Other Party,Slightly Conservative,Married,Female,Boomer
Independent (Neither),Slightly Conservative,Widowed,Male,Gen X
Not Very Strong Republican,Extremely Conservative,Married,Female,Gen X
"Independent, Close to Democrat",Moderate,Widowed,Male,Gen Z
"Independent, Close to Republican",Liberal,Married,Male,Millenial
Strong Democrat,Extremely Conservative,Divorced,Male,Millenial
Other Party,Slightly Conservative,Never Married,Female,Millenial
Not Very Strong Democrat,Slightly Conservative,Married,Male,Gen Z
"Independent, Close to Republican",Liberal,Separated,Female,Post-War
Strong Republican,Extremely Liberal,Widowed,Male,Post-War
Not Very Strong Democrat,Slightly Liberal,Never Married,Female,Boomer
Strong Democrat,Slightly Liberal,Never Married,Male,Millenial
Independent (Neither),Extremely Liberal,Never Married,Male,Gen Z
Not Very Strong Democrat,Moderate,Widowed,Female,Post-War
Not Very Strong Republican,Slightly Conservative,Widowed,Female,Boomer
Independent (Neither),Liberal,Separated,Female,Gen X
"Independent, Close to Republican",Slightly Conservative,Widowed,Female,Boomer
Not Very Strong Republican,Slightly Conservative,Never Married,Male,Gen X
"Independent, Close to Republican",Liberal,Divorced,Female,Gen Z
Not Very Strong Republican,Extremely Liberal,Married,Male,Millenial
"Independent, Close to Democrat",Extremely Conservative,Married,Female,Boomer
Not Very Strong Democrat,Conservative,Married,Female,Gen Z
Strong Republican,Extremely Liberal,Married,Male,Gen X
Strong Democrat,Moderate,Widowed,Male,Millenial
Independent (Neither),Conservative,Divorced,Male,Post-War
Not Very Strong Republican,Liberal,Divorced,Male,Millenial
"Independent, Close to Democrat",Moderate,Widowed,Female,Post-War
Strong Republican,Extremely Conservative,Married,Female,Gen X
"Independent, Close to Democrat",Slightly Liberal,Never Married,Male,Boomer
Not Very Strong Democrat,Extremely Liberal,Married,Female,Boomer
Independent (Neither),Slightly Conservative,Separated,Female,Gen Z
Other Party,Conservative,Separated,Female,Gen X
Not Very Strong Republican,Conservative,Widowed,Female,Gen X
Strong Democrat,Slightly Conservative,Divorced,Female,Boomer
"Independent, Close to Republican",Slightly Conservative,Married,Male,Gen X
Independent (Neither),Liberal,Married,Female,Millenial
Strong Democrat,Extremely Liberal,Widowed,Female,Boomer
Other Party,Slightly Liberal,Married,Female,Millenial
Strong Republican,Moderate,Separated,Male,Gen X
Not Very Strong Democrat,Extremely Conservative,Widowed,Female,Gen X
"Independent, Close to Democrat",Slightly Liberal,Married,Male,Boomer
Not Very Strong Democrat,Conservative,Never Married,Female,Boomer
Not Very Strong Democrat,Slightly Conservative,Divorced,Male,Gen X
Independent (Neither),Conservative,Never Married,Male,Millenial
Strong Republican,Liberal,Widowed,Male,Post-War
Not Very Strong Democrat,Slightly Liberal,Divorced,Male,Boomer
"Independent, Close to Republican",Liberal,Married,Male,Gen Z
"Independent, Close to Republican",Extremely Conservative,Married,Female,Gen X
Independent (Neither),Extremely Conservative,Married,Female,Gen X
Not Very Strong Republican,Moderate,Widowed,Male,Boomer
Not Very Strong Republican,Extremely Liberal,Married,Male,Millenial
Strong Republican,Moderate,Widowed,Male,Gen Z
Not Very Strong Democrat,Extremely Liberal,Separated,Male,Post-War
"Independent, Close to Republican",Liberal,Never Married,Female,Boomer
"Independent, Close to Democrat",Slightly Liberal,Married,Female,Boomer
Strong Democrat,Extremely Conservative,Widowed,Male,Gen X
Not Very Strong Republican,Slightly Conservative,Separated,Male,Post-War
Strong Democrat,Moderate,Never Married,Male,Gen Z
"Independent, Close to Democrat",Extremely Conservative,Married,Female,Post-War
"Independent, Close to Republican",Liberal,Widowed,Female,Boomer
Strong Republican,Liberal,Married,Male,Millenial
Strong Democrat,Liberal,Never Married,Female,Gen Z
Independent (Neither),Slightly Conservative,Never Married,Male,Gen X
Strong Democrat,Extremely Liberal,Separated,Female,Millenial
"Independent, Close to Republican",Liberal,Divorced,Female,Millenial
Strong Democrat,Extremely Conservative,Widowed,Female,Gen Z
Strong Democrat,Slightly Conservative,Separated,Male,Gen Z
"Independent, Close to Republican",Slightly Conservative,Widowed,Male,Millenial
Strong Democrat,Extremely Conservative,Divorced,Female,Boomer
"Independent, Close to Republican",Liberal,Widowed,Male,Post-War
"Independent, Close to Republican",Slightly Liberal,Separated,Female,Gen X
Strong Democrat,Slightly Conservative,Never Married,Male,Gen X
"Independent, Close to Democrat",Slightly Liberal,Married,Male,Millenial
"Independent, Close to Democrat",Liberal,Never Married,Female,Boomer
Other Party,Extremely Liberal,Separated,Male,Post-War
Other Party,Liberal,Separated,Male,Post-War
Not Very Strong Republican,Extremely Liberal,Never Married,Female,Boomer
Other Party,Extremely Conservative,Married,Female,Boomer
"Independent, Close to Republican",Conservative,Never Married,Male,Boomer
Independent (Neither),Extremely Conservative,Widowed,Male,Gen X
Independent (Neither),Extremely Conservative,Separated,Female,Gen X
"Independent, Close to Republican",Extremely Conservative,Never Married,Female,Gen Z
Other Party,Moderate,Separated,Male,Millenial
"Independent, Close to Republican",Slightly Conservative,Married,Female,Millenial
Strong Republican,Extremely Liberal,Never Married,Male,Post-War
"Independent, Close to Democrat",Conservative,Widowed,Male,Boomer
"Independent, Close to Republican",Slightly Liberal,Divorced,Female,Boomer
"Independent, Close to Republican",Slightly Conservative,Separated,Male,Millenial
Other Party,Liberal,Never Married,Male,Boomer
Strong Republican,Slightly Liberal,Separated,Female,Gen X
Not Very Strong Democrat,Slightly Liberal,Divorced,Male,Boomer
Not Very Strong Democrat,Slightly Liberal,Never Married,Female,Boomer
Other Party,Extremely Liberal,Married,Female,Millenial
Other Party,Moderate,Widowed,Male,Gen X
Independent (Neither),Moderate,Divorced,Male,Boomer
Other Party,Liberal,Never Married,Female,Millenial
"Independent, Close to Republican",Conservative,Never Married,Female,Post-War
Independent (Neither),Liberal,Separated,Male,Post-War
Not Very Strong Democrat,Slightly Liberal,Widowed,Female,Gen X
Strong Republican,Moderate,Separated,Female,Boomer
Independent (Neither),Moderate,Divorced,Female,Boomer
Independent (Neither),Slightly Conservative,Widowed,Male,Millenial
Strong Democrat,Moderate,Divorced,Female,Boomer
Not Very Strong Democrat,Moderate,Divorced,Male,Boomer
"Independent, Close to Republican",Extremely Conservative,Married,Female,Gen Z
Not Very Strong Democrat,Moderate,Married,Female,Gen X
Independent (Neither),Extremely Conservative,Never Married,Female,Gen Z
"Independent, Close to Republican",Extremely Conservative,Separated,Female,Millenial
"Independent, Close to Republican",Moderate,Never Married,Female,Post-War
Strong Democrat,Extremely Conservative,Separated,Male,Millenial
Strong Democrat,Extremely Liberal,Never Married,Female,Boomer
Strong Republican,Slightly Liberal,Married,Male,Gen X
Independent (Neither),Extremely Conservative,Divorced,Female,Gen Z
"Independent, Close to Democrat",Extremely Conservative,Widowed,Female,Post-War
"Independent, Close to Democrat",Extremely Conservative,Married,Female,Boomer
Other Party,Slightly Liberal,Separated,Female,Gen X
Independent (Neither),Slightly Liberal,Widowed,Female,Gen X
"Independent, Close to Republican",Conservative,Separated,Male,Gen X
Strong Democrat,Extremely Conservative,Divorced,Male,Post-War
"Independent, Close to Republican",Liberal,Married,Male,Gen X
Other Party,Extremely Liberal,Separated,Male,Post-War
Not Very Strong Republican,Liberal,Separated,Female,Post-War
Strong Democrat,Slightly Conservative,Separated,Male,Boomer
Independent (Neither),Extremely Liberal,Widowed,Male,Gen X
Other Party,Slightly Liberal,Never Married,Male,Millenial
"Independent, Close to Democrat",Moderate,Separated,Male,Gen X
Not Very Strong Republican,Extremely Conservative,Divorced,Male,Gen Z
Independent (Neither),Extremely Liberal,Separated,Male,Gen Z
Not Very Strong Democrat,Slightly Liberal,Separated,Male,Gen Z
Strong Republican,Extremely Liberal,Divorced,Male,Millenial
Independent (Neither),Extremely Conservative,Married,Female,Boomer
Strong Republican,Slightly Liberal,Never Married,Male,Post-War
Strong Republican,Slightly Liberal,Never Married,Male,Gen Z
Independent (Neither),Liberal,Widowed,Female,Post-War
Other Party,Slightly Conservative,Separated,Male,Millenial
"Independent, Close to Democrat",Extremely Conservative,Never Married,Male,Post-War
"Independent, Close to Democrat",Conservative,Divorced,Male,Gen X
Strong Democrat,Moderate,Separated,Male,Post-War
"Independent, Close to Democrat",Conservative,Divorced,Female,Post-War
Independent (Neither),Extremely Conservative,Widowed,Male,Boomer
Not Very Strong Republican,Slightly Liberal,Divorced,Male,Gen X
Not Very Strong Republican,Conservative,Separated,Female,Gen Z
Strong Republican,Liberal,Separated,Male,Gen Z
